Year,United Kingdom,United States,Japan,China,Canada
2000,7.652358,12.65825,6.986548,3.952852,8.524552
2001,7.845925,12.95864,7.125845,4.152854,8.7458752
2002,7.94137812,13.98185062,7.35235357,4.38285208,8.85670376
2003,8.11239147,14.49863911,7.48654842,4.41762829,9.01090145
2004,8.39001179,14.59480953,7.53518438,4.29347467,9.06628132
2005,8.44144344,14.60504532,7.65818596,4.17605114,9.03540611
2006,8.60818768,14.71834183,7.68688822,3.94742227,9.34210205
2007,8.7854166,14.93882084,7.77935696,3.67491436,9.44500446
2008,9.06439972,15.2670145,8.08909321,3.90000153,9.60709858
2009,9.8809166,16.23350334,8.9587822,4.3495841,10.71716499
2010,9.83532333,16.25922203,9.0630064,4.23068333,10.69585419
2011,9.84848499,17.1985054,10.48780155,4.34274435,10.40052414
2012,9.91419888,17.17543411,10.67169189,4.56584787,10.50637913
2013,9.97566223,18.06451797,10.67438602,4.71490669,10.40513706
2014,9.95041275,18.25333214,10.7290144,4.77790594,11.24852657
2015,9.90072441,19.52407265,10.74969959,3.93827963,11.73320484
2016,9.87313271,19.84432411,10.65891647,3.97955608,12.02296066
2017,9.80787468,20.80583572,10.65627003,3.06592178,12.83538342
2018,9.90384102,20.68710518,10.94838829,2.16790485,13.80637455
2019,10.15402699,21.76706314,11.24372482,2.3502779,13.84447765
2020,10.16505025,22.70711452,11.74246541,2.006535,13.85224
